iter	Passed	Remaining
0	285	285176
1	539	269425
2	814	270637
3	1098	273478
4	1350	268845
5	1597	264715
6	1833	260068
7	2062	255716
8	2298	253123
9	2542	251741
10	2779	249894
11	3019	248644
12	3337	253368
13	3663	258020
14	4006	263060
15	4308	264969
16	4572	264413
17	4809	262365
18	5055	261037
19	5295	259486
20	5538	258212
21	5780	256960
22	6018	255645
23	6252	254275
24	6500	253531
25	6741	252564
26	7033	253478
27	7266	252267
28	7491	250828
29	7713	249399
30	7939	248186
31	8174	247271
32	8409	246426
33	8642	245559
34	8873	244655
35	9101	243709
36	9324	242681
37	9548	241725
38	9768	240706
39	10005	240138
40	10234	239377
41	10475	238948
42	10706	238277
43	10933	237564
44	11159	236836
45	11384	236106
46	11606	235334
47	11841	234850
48	12072	234305
49	12302	233755
50	12527	233118
51	12752	232482
52	12977	231886
53	13206	231364
54	13429	230735
55	13648	230082
56	13875	229557
57	14106	229116
58	14321	228420
59	14540	227804
60	14763	227261
61	14986	226730
62	15219	226359
63	15452	225991
64	15680	225563
65	15906	225103
66	16133	224659
67	16371	224387
68	16592	223883
69	16815	223410
70	17042	222993
71	17279	222707
72	17519	222475
73	17750	222119
74	17974	221680
75	18209	221393
76	18458	221261
77	18684	220854
78	18910	220468
79	19140	220117
80	19380	219884
81	19602	219446
82	19838	219176
83	20072	218885
84	20305	218577
85	20539	218293
86	20775	218021
87	21008	217723
88	21250	217521
89	21482	217213
90	21707	216841
91	21937	216509
92	22181	216329
93	22413	216024
94	22642	215699
95	22869	215351
96	23099	215039
97	23331	214746
98	23562	214442
99	23795	214155
100	24034	213926
101	24272	213690
102	24507	213426
103	24745	213192
104	24979	212917
105	25207	212598
106	25435	212276
107	25666	211988
108	25899	211713
109	26138	211480
110	26377	211261
111	26600	210906
112	26829	210600
113	27055	210273
114	27285	209980
115	27516	209697
116	27739	209348
117	27965	209028
118	28206	208823
119	28443	208584
120	28667	208256
121	28897	207969
122	29122	207648
123	29356	207386
124	29587	207111
125	29812	206793
126	30040	206500
127	30270	206214
128	30501	205946
129	30732	205672
130	30958	205369
131	31185	205066
132	31421	204829
133	31649	204540
134	31875	204237
135	32096	203904
136	32332	203673
137	32557	203368
138	32788	203097
139	33017	202823
140	33254	202595
141	33486	202336
142	33704	201988
143	33935	201728
144	34163	201449
145	34399	201214
146	34633	200968
147	34860	200683
148	35099	200469
149	35334	200227
150	35567	199979
151	35791	199679
152	36024	199427
153	36244	199107
154	36473	198836
155	36708	198602
156	36941	198353
157	37168	198076
158	37396	197801
159	37619	197504
160	37851	197252
161	38094	197058
162	38331	196829
163	38565	196590
164	38794	196324
165	39024	196062
166	39257	195815
167	39480	195521
168	39708	195251
169	39936	194981
170	40165	194718
171	40402	194497
172	40636	194256
173	40856	193950
174	41086	193693
175	41310	193409
176	41537	193139
177	41760	192850
178	41985	192568
179	42224	192357
180	42466	192156
181	42683	191843
182	42912	191581
183	43139	191315
184	43372	191073
185	43606	190835
186	43835	190577
187	44064	190322
188	44297	190082
189	44530	189838
190	44756	189570
191	44984	189310
192	45216	189064
193	45442	188797
194	45670	188535
195	45894	188261
196	46130	188033
197	46358	187775
198	46579	187486
199	46810	187243
200	47034	186969
201	47272	186750
202	47497	186481
203	47725	186221
204	47948	185945
205	48168	185660
206	48401	185422
207	48627	185157
208	48849	184878
209	49075	184619
210	49305	184369
211	49527	184091
212	49748	183812
213	49987	183598
214	50221	183365
215	50453	183128
216	50687	182894
217	50912	182631
218	51134	182355
219	51363	182106
220	51597	181876
221	51840	181674
222	52096	181519
223	52333	181299
224	52559	181039
225	52787	180786
226	53023	180559
227	53254	180319
228	53489	180088
229	53717	179837
230	53945	179584
231	54171	179327
232	54403	179087
233	54629	178828
234	54848	178549
235	55074	178290
236	55307	178056
237	55538	177816
238	55758	177541
239	55983	177282
240	56220	177058
241	56451	176820
242	56678	176565
243	56924	176373
244	57145	176101
245	57370	175843
246	57597	175591
247	57819	175325
248	58039	175049
249	58270	174810
250	58500	174569
251	58728	174320
252	58948	174050
253	59176	173800
254	59399	173538
255	59625	173285
256	59840	173000
257	60071	172763
258	60310	172549
259	60546	172325
260	60760	172039
261	60988	171791
262	61214	171540
263	61442	171293
264	61668	171042
265	61889	170777
266	62130	170566
267	62360	170328
268	62594	170100
269	62831	169878
270	63069	169658
271	63356	169571
272	63613	169402
